"elencoid","pelicula_id","personajeid"
3044,299,3778
3045,299,1136
3046,299,267
3047,299,31
3048,299,705
3049,299,795
3050,299,921
3051,299,1495
3052,299,1345
3053,299,3780
3054,299,3781
3055,299,3782
3056,299,3783
3057,299,3784
3058,299,3785
3059,299,1469
3060,299,3786
3177,339,3963
3178,339,2075
3179,339,3964
3180,339,3965
3181,345,3970
3182,345,3971
3183,345,3972
3184,345,1495
3185,345,2742
3186,345,781
3187,345,702
3188,345,283
3208,358,4011
3209,358,4012
3210,358,4013
3211,358,4014
3212,358,4015
3213,358,4016
3214,358,4017
3215,358,4018
3226,361,749
3227,361,953
3228,361,312
3229,361,459
3230,361,257
3231,361,101
3232,361,794
3233,361,4025
3243,66,1568
3278,397,278
3279,397,2084
3280,397,95
3281,397,1338
3282,397,489
3283,397,155
3284,397,1097
3285,397,1283
3286,397,600
3287,397,102
3288,397,277
3289,397,66
3314,482,445
3315,482,4281
3316,482,4282
3317,482,1184
3318,482,436
3319,482,1800
3320,482,4282
3321,482,4283
3322,482,4285
3323,482,414
3324,482,4273
3325,482,413
3611,55,1283
3985,603,4457
3986,603,4505
3987,603,4584
3988,603,5000
3989,603,4827
3990,603,4460
3991,603,5048
3992,603,5049
3993,603,5050
3994,603,4698
3995,603,5051
4077,635,251
4078,635,973
4079,635,5174
4374,108,5402
4375,108,5403
4893,753,2553
4894,753,2276
4895,753,5829
4896,753,5830
4897,753,5831
4898,753,5832
4941,778,950
4942,778,577
4943,778,254
4945,779,5892
4946,779,323
4947,779,1381
4948,779,1339
4949,779,1137
4950,779,577
4951,779,5893
4952,779,5894
4953,779,5895
4954,779,1245
4955,779,5896
4956,779,1483
4957,779,1318
4958,780,1434
4959,780,5679
4960,780,1283
4962,780,1426
4963,780,280
4964,781,227
4965,781,948
4966,781,438
4967,781,705
4968,782,4365
4969,782,1345
4970,782,893
4971,782,5904
4972,783,459
4973,783,1137
4974,783,794
4975,783,875
4976,783,1757
4977,783,5905
4982,787,5912
4983,787,5913
4984,787,763
4985,787,659
4986,787,4365
4987,787,5914
4988,788,5914
4989,788,5915
4990,788,5916
4991,788,5912
4992,788,5917
4993,788,1107
4994,788,921
4995,788,5842
4996,788,1434
4997,788,5918
5003,791,1552
5004,791,548
5005,791,483
5006,791,779
5007,791,5935
5008,791,5936
5009,791,5937
5010,791,5938
5011,791,5939
5012,792,5941
5013,792,5942
5031,849,6084
5032,849,6085
5033,849,6086
5034,849,6087
5035,849,6088
5036,849,6089
5037,849,6090
5058,870,6168
5059,870,6169
5060,870,6170
5093,898,6296
5094,898,1244
5095,898,6297
5096,898,748
5097,898,1305
5098,898,2345
5099,898,1284
5100,898,600
5101,898,459
5102,898,510
