"premios","pelicula_id"
"<li> Grand Prix, Festival de Cine New Horizons de Wroclaw, Polonia, 2012.",2013
"<li> Mejor director, Competencia Cine Chileno, Sanfic, 2012.",2156
"<li> Premio del público, Sanfic, 2012.",2172
"<li> Premio del público Glauber Rocha a la mejor película latinoamericana, Festival de Cine de Montreal, 2012.",1709
"<li> Mención honrosa, Festival de Documentales de Antofagasta, Chile, 2012.",1395
"<li> Premio Kutxa Nuevos Directores, Festival Internacional de Cine de San Sebastián, España, 2012.",2053
"<li> Mejor película, Competencia internacional, Festival Internacional de Cine de Valdivia, 2012",2013
"<li> Mejor película, Competencia Cine Chileno, Festival Internacional de Cine de Valdivia, 2012",2134
"<li> Premio Moviecity, Festival Internacional de Cine de Valdivia, 2012.",2053
"<li> Premio del público, Festival Internacional de Cine de Valdivia, 2012.",2134
"<li> Ganador Competencia Largometraje Nacional, Mejor Dirección y Premio del  público, Festival Internacional de Cine de Antofagasta, 2012.",1205
"<li> Mejor Película, Premios Pedro Sienna, 2012.",2094
"<li> Mejor Película, Premios Pedro Sienna, 2012.",1098
"<li> Mejor actor protagónico (Luis Dubó), Premios Pedro Sienna, 2012.",1380
"<li> Mejor actriz protagónica (Bélgica Castro), Premios Pedro Sienna, 2012.",781
"<li> Mejor interpretación secundaria femenina (Claudia Celedón), Premios Pedro Sienna, 2012.",781
"<li> Mejor guión, Premios Pedro Sienna, 2012.",781
"<li> Mejor interpretación masculina secundaria (Alejandro Goic), Premios Pedro Sienna, 2012.",1769
"<li> Mejor director, Premios Pedro Sienna, 2012.",1378
"<li> Mejor documental, Premios Pedro Sienna, 2012.",1551
"<li> Mejor fotografía, Premios Pedro Sienna, 2012.",1378
"<li> Mejor montaje, Premios Pedro Sienna, 2012.",1982
"<li> Mejor música, Premios Pedro Sienna, 2012.",1551
"<li> Mejor dirección de arte, Premios Pedro Sienna, 2012.",1769
"<li> Mejor diseño de vestuario, Premios Pedro Sienna, 2012.",792
"<li> Mejor maquillaje, Premios Pedro Sienna, 2012.",1382
"<li> Premio de público, Antofadocs, 2012.",2254
"<li> Premio Paoa Mejor Película Competencia Internacional, Premio FEISAL, Festival Internacional de Cine de Viña del Mar, 2012.",2108
"<li> Premio Especial Jurado, Premio crítica especializada, Festival Internacional de Cine de Viña del Mar, 2012.",2273
"<li> Mejor largometraje, Festival Internacional de Cine de Mar del Plata, 2012.",2273
"<li> Competencia Largos Chilenos: Mejor película, Festival Cine//B, 2012.",2134
"<li> Premio del público, Festival Cine//B, 2012.",2254
"<li> Competencia Largos Chilenos: Mejor dirección, Festival Cine//B, 2012.",1664
"<li> Competencia Largos Chilenos: Mejor Elenco, Festival Cine//B, 2012.",2273
"<li> Competencia Largos Chilenos: Mejor Visualidad y Diseño Sonoro, Festival Cine//B, 2012.",1393
"<li> Competencia Largos Chilenos: Mención Honrosa, Festival Cine//B, 2012.",1395
"<li> Primer Premio Coral, Festival Internacional del Nuevo Cine Latinoamericano de La Habana, Cuba, 2012.",2094
"<li> Segundo Premio Coral, Festival Internacional del Nuevo Cine Latinoamericano de La Habana, Cuba, 2012.",1379
"<li> Mejor actriz principal, mejor actriz secundaria, Festival de Cine del Marga Marga, 2012.",1690
"<li> Premio del jurado, Seattle Lesbian & Gay Film Festival, 2012.",1690
"<li> Mejor documental, Cinema Tropical, Estados Unidos, 2013.",1395
"<li> Mejor director, World Cinema Dramatic, Festival de Sundance, Estados Unidos, 2013.",2381
"<li> Premio Ingmar Bergman International Debut, Festival Internacional de Goteborg, Suecia, 2013.",2053
"<li> Oso de plata la Mejor actriz, Festival Internacional de Cine de Berlín, 2013.",2377
"<li> Mejor largometraje, mejor guión, Festival Internacional de Cine de Iquique, 2013.",2013
"<li> Premio del público, Festival Internacional de Cine de Iquique, 2013.",2156
