pelicula_id,ano,responsable,monto,institucion,tipo,titulo,salas,copias,publico,,,,,,,
1377,2009,PIRANHA FILMS EIRL,115262500,fondart,Ficcion,La pasión de Michelangelo,6,18,8218,,,,,,,
1378,2010,PRODUCCIÓN Y DISTRIBUCIÓN DE CINE JIRAFA LIMITADA,125000000,fondart,Ficcion,BONSAI,10,6,4333,,,,,,,
1378,2012,Jirafa Ltda,12354111,corfo,Ficcion,Bonsai,11,6,4333,,,,,,,Cristián Jiménez
1379,2011,Comercializadora BF Limitada,15000000,corfo,Ficcion,Violeta se fue a los cielos,16,21,387443,,,,,,,Andrés Wood
1379,2009,ANDRES WOOD PRODUCCIONES S.A.,138315000,fondart,Ficcion,"VIOLETA, SE FUE A LOS CIELOS",24,21,389216,,,,,,,
1380,2012,Comercializadora BF Limitada,12451440,corfo,Ficcion,El año del tigre,7,10,2959,,,,,,,Sebastián Lelio
1380,2011,"LELIO Y MAZA LIMITADA,   ",25000000,fondart,Ficcion,EL AÑO DEL TIGRE ,6,10,2924,,,,,,,
1382,2009,PICARDÍA FILMS PRODUCCIONES LTDA.,123000000,fondart,Ficcion,SAL,5,16,4562,,,,,,,
1382,2012,Comercializadora BF Limitada,13792713,corfo,Ficcion,Sal,6,16,4579,,,,,,,Diego Rougier
1386,2012,Producción y Distribución de Cine Jirafa Ltda.,14639611,corfo,Ficcion,Miguel San Miguel,4,13,9149,,,,,,,Matías Cruz
1391,2008,ASESORIAS Y PRODUCCIONES FABULA LIMITADA,149464840,fondart,Ficcion,SINDROME DE ULISES,3,3,655,,,,,,,
1391,2011,Comercializadora BF Limitada,13077620,corfo,Ficcion,Ulises,2,3,584,,,,,,,Oscar Godoy
1392,2011,Marcela Paz Said Cares,9270000,corfo,Documental,El Mocito,5,3,1233,,,,,,,Marcela Said y Jean de Certeau
1393,2007,PRODUCCIONES AUDIOVISUALES A ESCALA HUMANA LTDA.,83927526,fondart,Ficcion,EL CIRCUITO DE ROMÁN,4,3,231,,,,,,,
1393,2012,Producciones Audiovisuales a Escala Humana Ltda.,8960105,corfo,Ficcion,El Circuito de Román,4,3,231,,,,,,,
1395,2013,Errante Producciones Ltda.,7486341,corfo,Documental,El Salvavidas,3,3,221,,,,,,,Maite Alberdi
1429,2009,Constanza Fernandez Producciones EIRL,3818221,corfo,Ficcion,No me Pidas que no lo Lamente,,,,,,,,,,
1496,2009,SERVICIOS AUDIOVISUALES LIMITADA EL REMANSO CINE LTDA,115009775,fondart,Ficcion,SENTADOS FRENTE AL FUEGO,3,3,579,,,,,,,
1496,2012,Servicios Audiovisuales Ltda.,10393000,corfo,Ficcion,Sentados frente al fuego,3,3,579,,,,,,,Alejandro Fernández Almendras
1497,2010,PRODUCCIONES PLAY LTDA. (O LA VENTURA LTDA.),93780166,fondart,Documental,VERANO,,,,,,,,,,
1497,2012,Producciones Play Ltda.,6522500,corfo,Documental,Verano,,,,,,,,,,
1551,2008,IGENIO VISUAL S.A.,42498467,fondart,,LOCAS MUJERES,10,1,3052,,,,,,,
1664,2007,PAROX SOCIEDAD ANÓNIMA,31411118,fondart,Documental,HIJA,4,4,161,,,,,,,
1664,2011,Servicios Audiovisuales María Paz Gonzalez Guzmán EIRL,7763359,corfo,Documental,Hija,4,4,160,,,,,,,María Paz González
1667,2011,Comercializadora BF Limitada,15000000,corfo,Ficcion,Que pena tu boda,10,39,200679,,,,,,,Nicolás López
1690,2012,Constanza Fernández Producciones EIRL,6444404,corfo,Ficcion,Mapa para conversar,3,4,236,,,,,,,Constanza Fernández Bertrand
1709,2011,Sahara Films Producciones S.A.,14998803,corfo,Ficcion,¿Alguién ha visto a Lupita?,3,17,1594,,,,,,,Gonzalo Justiniano
1709,2009,SAHARA FILMS PRODUCCIONES S.A.,149709192,fondart,Ficcion,ALGUIÉN HA VISTO A LUPITA,3,17,1594,,,,,,,
1717,2008,MAR HUMANO PRODUCCIONES AUDIOVISUALES EIRL,30000000,fondart,Documental,MAPOCHO,3,1,73,,,,,,,
1753,2012,Antipoder SpA,5955024,corfo,Documental,Palestina al Sur,,,,,,,,,,
1769,2011,Invercine,13725542,corfo,Ficcion,Bombal,8,15,15692,,,,,,,
1770,2012,Servicios Audiovisuales Ltda.,9352000,corfo,Ficcion,Zoológico,2,2,61,,,,,,,Rodrigo Marín
1811,2007,PORTAL BASUALTO LTDA,4411670,corfo,Documental,MONOGAMO SUCESIVO,,,,,,,,,,
1837,2011,El Costillar Films Limitada,9333400,corfo,Ficcion,Dios me Libre,6,22,4503,,,,,,,Martín Duplaquet
1846,2012,Green Films S.A.,15000000,corfo,Ficcion,"Marcelo, la mafia y la estafa",5,14,954,,,,,,,Aníbal Herrera y Alejandro Salazar
1982,2009,ASESORIAS Y PRODUCCIONES FABULA LIMITADA,124559200,fondart,Ficcion,JOVEN Y ALOCADA,10,19,37982,,,,,,,
1982,2012,Comercializadora BF Limitada,14998896,corfo,Ficcion,Joven y Alocada,10,19,37982,,,,,,,Marialy Rivas
1991,2012,Afro Producciones Limitada,10695000,corfo,Ficcion,El lenguaje del tiempo,4,1,37,,,,,,,Sebastián Araya
2013,2012,Forastero Ltda,10800000,corfo,Ficcion,De Jueves a Domingo,5,7,3454,,,,,,,Dominga Sotomayor
2013,2010,PRODUCCIONES AUDIOVISUALES FORASTERO LTDA.,130352975,fondart,,DE JUEVES A DOMINGO,5,7,3454,,,,,,,
2037,2012,Cineanimadores S.A.,15000000,corfo,Ficcion,"Selkirk, el verdadero Robinson Crusoe",10,37,33198,,,,,,,Walter Tournier
2037,2008,CINEANIMADORES S.A.,118093088,fondart,Ficcion,"SELKIRK, LA VERDADERA HISTORIA DE ROBINSON CRUSOE",10,37,33198,,,,,,,
2038,2014,Servicios Comunicacionales Camilo Klein Hodar EIRL,7900000,corfo,Ficcion,Apio Verde,2,,2174,,,,,,,Diego Ayala Riquelme y Anibal Jofré
2048,2011,Servicios Audiovisuales Christian Jorge Aspee Aravena E.I.R.L.,13500000,corfo,Ficcion,La Noche de Enfrente,2,3,886,,,,,,,
2048,2011,"SURICATO E.I.R.L,   ",152783814,fondart,Ficcion,LA NOCHE DE ENFRENTE ,2,3,886,,,,,,,
2053,2012,Ceneca Producciones Ltda.,11758020,corfo,Ficcion,Carne de Perro,3,3,795,,,,,,,Fernando Guzzoni
2053,2011,"CENECA PRODUCCIONES,   ",90000000,fondart,Ficcion,CARNE DE PERRO ,3,3,795,,,,,,,
2054,2012,Tatiana Lorca Producciones Audiovisuales Ltda,6104056,corfo,Ficcion,La Mudanza,,,,,,,,,,
2080,2005,CHILEFILMS S.A.,,fondart,Ficcion,"CALEUCHE, EL LLAMADO DEL MAR",9,35,62.558,,,,,,,
2080,2012,Olguin y Compañía Ltda,15000000,corfo,Ficcion,"Caleuche, el llamado del mar",9,35,62.558,,,,,,,Jorge Olguín
2094,2012,Comercializadora BF Limitada,15000000,corfo,Ficcion,NO,11,56,211958,,,,,,,Pablo Larraín
2094,2011,"ASESORIAS Y PRODUCCIONES FABULA LIMITADA,   ",153000000,fondart,Ficcion,NO ,15,56,215929,,,,,,,
2108,2010,ALVARO (TEVO) RAFAEL GERMÁN DÍAZ RAMÍREZ,59570808,fondart,Ficcion,PENA DE MUERTE,2,2,61,,,,,,,
2109,2014,Ant Fire Productions SpA,13600000,corfo,Ficcion,Hijo del Trauco,6,18,4018,,,,,,,
2134,2012,CK Films Spa,13578424,corfo,Ficcion,Dónde vuelan los cóndores,,,,,,,,,,
2135,2012,El Paseo Digital Limitada,5690000,corfo,Documental,Las mujeres del pasajero,2,2,67,,,,,,,
2156,2012,Producciones Antonia Santa Maria Limitada,7776019,corfo,Ficcion,Pérez,2,,1234,,,,,,,Álvaro Viguera
2168,2009,PRODUCCIONES PLAY LTDA.,125000000,fondart,Ficcion,EL FUTURO,5,8,4712,,,,,,,
